Date,pH_parents,pH_offspring,Chamber_tank,Number,Channel,Plate,Run,Num_indivs,Filename
3/16/2023,8,8,1,1,B6,1,1,16,SDR_799_resp_Plate1.csv
3/16/2023,8,8,1,2,C4,1,1,16,SDR_799_resp_Plate1.csv
3/16/2023,8,8,1,3,D5,1,1,16,SDR_799_resp_Plate1.csv
3/16/2023,8,7.5,7,1,B2,1,1,18,SDR_799_resp_Plate1.csv
3/16/2023,8,7.5,7,2,C3,1,1,18,SDR_799_resp_Plate1.csv
3/16/2023,8,7.5,7,3,C5,1,1,18,SDR_799_resp_Plate1.csv
3/16/2023,8,7.5,8,1,A1,1,1,19,SDR_799_resp_Plate1.csv
3/16/2023,8,7.5,8,2,B1,1,1,19,SDR_799_resp_Plate1.csv
3/16/2023,8,7.5,8,3,D2,1,1,19,SDR_799_resp_Plate1.csv
3/16/2023,8,7.5,9,1,B5,1,1,12,SDR_799_resp_Plate1.csv
3/16/2023,8,7.5,9,2,C6,1,1,12,SDR_799_resp_Plate1.csv
3/16/2023,8,7.5,9,3,D6,1,1,12,SDR_799_resp_Plate1.csv
3/16/2023,8,7,13,1,A2,1,1,15,SDR_799_resp_Plate1.csv
3/16/2023,8,7,13,2,A3,1,1,15,SDR_799_resp_Plate1.csv
3/16/2023,8,7,13,3,C1,1,1,15,SDR_799_resp_Plate1.csv
3/16/2023,8,7,14,1,A5,1,1,14,SDR_799_resp_Plate1.csv
3/16/2023,8,7,14,2,A6,1,1,14,SDR_799_resp_Plate1.csv
3/16/2023,8,7,14,3,B4,1,1,14,SDR_799_resp_Plate1.csv
3/16/2023,NA,8,blank,NA,A4,1,1,NA,SDR_799_resp_Plate1.csv
3/16/2023,NA,7.5,blank,NA,B3,1,1,NA,SDR_799_resp_Plate1.csv
3/16/2023,NA,7,blank,NA,C2,1,1,NA,SDR_799_resp_Plate1.csv
3/16/2023,NA,7,blank,NA,D1,1,1,NA,SDR_799_resp_Plate1.csv
3/16/2023,NA,7.5,blank,NA,D3,1,1,NA,SDR_799_resp_Plate1.csv
3/16/2023,NA,8,blank,NA,D4,1,1,NA,SDR_799_resp_Plate1.csv
3/16/2023,8,8,3,1,A4,2,1,12,SDR_873_resp_Plate2.csv
3/16/2023,8,8,3,2,B5,2,1,12,SDR_873_resp_Plate2.csv
3/16/2023,8,8,3,3,C4,2,1,12,SDR_873_resp_Plate2.csv
3/16/2023,7.5,8,4,1,B3,2,1,10,SDR_873_resp_Plate2.csv
3/16/2023,7.5,8,4,2,C3,2,1,10,SDR_873_resp_Plate2.csv
3/16/2023,7.5,8,4,3,D6,2,1,10,SDR_873_resp_Plate2.csv
3/16/2023,7.5,8,5,1,A1,2,1,13,SDR_873_resp_Plate2.csv
3/16/2023,7.5,8,5,2,B2,2,1,13,SDR_873_resp_Plate2.csv
3/16/2023,7.5,8,5,3,C2,2,1,13,SDR_873_resp_Plate2.csv
3/16/2023,7.5,7.5,11,1,A5,2,1,14,SDR_873_resp_Plate2.csv
3/16/2023,7.5,7.5,11,2,B4,2,1,14,SDR_873_resp_Plate2.csv
3/16/2023,7.5,7.5,11,3,D5,2,1,14,SDR_873_resp_Plate2.csv
3/16/2023,7.5,7.5,12,1,B1,2,1,14,SDR_873_resp_Plate2.csv
3/16/2023,7.5,7.5,12,2,C1,2,1,14,SDR_873_resp_Plate2.csv
3/16/2023,7.5,7.5,12,3,D2,2,1,14,SDR_873_resp_Plate2.csv
3/16/2023,8,7,15,1,A2,2,1,13,SDR_873_resp_Plate2.csv
3/16/2023,8,7,15,2,A3,2,1,13,SDR_873_resp_Plate2.csv
3/16/2023,8,7,15,3,D1,2,1,13,SDR_873_resp_Plate2.csv
3/16/2023,NA,8,blank,NA,A6,2,1,NA,SDR_873_resp_Plate2.csv
3/16/2023,NA,7.5,blank,NA,B6,2,1,NA,SDR_873_resp_Plate2.csv
3/16/2023,NA,7.5,blank,NA,C5,2,1,NA,SDR_873_resp_Plate2.csv
3/16/2023,NA,8,blank,NA,C6,2,1,NA,SDR_873_resp_Plate2.csv
3/16/2023,NA,7,blank,NA,D3,2,1,NA,SDR_873_resp_Plate2.csv
3/16/2023,NA,7,blank,NA,D4,2,1,NA,SDR_873_resp_Plate2.csv
3/16/2023,8,8,2,1,C4,3,1,12,SDR_979_resp_Plate3.csv
3/16/2023,8,8,2,2,D2,3,1,12,SDR_979_resp_Plate3.csv
3/16/2023,8,8,2,3,D6,3,1,12,SDR_979_resp_Plate3.csv
3/16/2023,7.5,8,6,1,A3,3,1,12,SDR_979_resp_Plate3.csv
3/16/2023,7.5,8,6,2,B1,3,1,12,SDR_979_resp_Plate3.csv
3/16/2023,7.5,8,6,3,C1,3,1,12,SDR_979_resp_Plate3.csv
3/16/2023,7.5,7.5,10,1,A2,3,1,17,SDR_979_resp_Plate3.csv
3/16/2023,7.5,7.5,10,2,B3,3,1,17,SDR_979_resp_Plate3.csv
3/16/2023,7.5,7.5,10,3,C6,3,1,17,SDR_979_resp_Plate3.csv
3/16/2023,7.5,7,16,1,A4,3,1,16,SDR_979_resp_Plate3.csv
3/16/2023,7.5,7,16,2,B4,3,1,16,SDR_979_resp_Plate3.csv
3/16/2023,7.5,7,16,3,C3,3,1,16,SDR_979_resp_Plate3.csv
3/16/2023,7.5,7,17,1,A1,3,1,18,SDR_979_resp_Plate3.csv
3/16/2023,7.5,7,17,2,B2,3,1,18,SDR_979_resp_Plate3.csv
3/16/2023,7.5,7,17,3,C2,3,1,18,SDR_979_resp_Plate3.csv
3/16/2023,7.5,7,18,1,A6,3,1,10,SDR_979_resp_Plate3.csv
3/16/2023,7.5,7,18,2,B6,3,1,10,SDR_979_resp_Plate3.csv
3/16/2023,7.5,7,18,3,C5,3,1,10,SDR_979_resp_Plate3.csv
3/16/2023,NA,7.5,blank,NA,A5,3,1,NA,SDR_979_resp_Plate3.csv
3/16/2023,NA,7.5,blank,NA,B5,3,1,NA,SDR_979_resp_Plate3.csv
3/16/2023,NA,7,blank,NA,D1,3,1,NA,SDR_979_resp_Plate3.csv
3/16/2023,NA,8,blank,NA,D3,3,1,NA,SDR_979_resp_Plate3.csv
3/16/2023,NA,7,blank,NA,D4,3,1,NA,SDR_979_resp_Plate3.csv
3/16/2023,NA,8,blank,NA,D5,3,1,NA,SDR_979_resp_Plate3.csv
